id	GSM2978789_Control	GSM2978790_Control	GSM2978791_Control	GSM2978792_Control	GSM2978793_Control	GSM2978794_Control	GSM2978795_Control	GSM2978796_Control	GSM2978797_Control	GSM2978798_Control	GSM2978799_Control	GSM2978752_Treat	GSM2978753_Treat	GSM2978754_Treat	GSM2978755_Treat	GSM2978756_Treat	GSM2978757_Treat	GSM2978758_Treat	GSM2978759_Treat	GSM2978760_Treat	GSM2978761_Treat	GSM2978762_Treat	GSM2978763_Treat	GSM2978764_Treat	GSM2978765_Treat	GSM2978766_Treat	GSM2978767_Treat	GSM2978768_Treat	GSM2978769_Treat	GSM2978770_Treat	GSM2978771_Treat	GSM2978772_Treat	GSM2978773_Treat
 A1BG 	7.162268125	7.3365975	7.48392364583333	7.27585854166667	7.15199441666667	7.31262495833333	7.48537985416667	7.11467489583333	7.31432932291667	7.18626677083333	7.42888677083333	6.91113614583333	7.02323170833333	6.98881285416667	7.1179403125	7.1837485	6.98547416666667	6.65342183333333	6.76336816666667	7.0180140625	6.77233197916667	6.68081491666667	6.64443795833333	6.930757875	6.72507864583333	7.23209560416667	6.83397971875	7.051886875	6.9376600625	6.73004135416667	6.9076384375	7.0311329375	7.04339458333333
 A1CF 	5.26902052083333	5.13169197916667	5.12806170833333	5.14394972916667	5.11759341666667	5.13239125	5.24666145833333	5.190097625	5.291725	5.09568979166667	5.14282645833333	5.17689277083333	5.21524177083333	5.126258125	5.14055485416667	5.065764125	5.249851875	5.13894229166667	4.97623645833333	5.07823760416667	4.8444009375	5.10793052083333	5.33565083333333	4.8295443125	5.00273083333333	4.87877770833333	4.823621875	5.07978541666667	5.01045791666667	5.1789515625	5.42057833333333	4.80445395833333	5.15021083333333
 A2M 	13.1899678125	12.6106484375	13.0032153958333	12.8773501666667	13.3382031458333	13.0231736041667	12.1672946041667	13.3382031458333	12.7679191041667	13.1655680625	11.8952748125	13.0999816041667	13.4365506875	13.5524708333333	13.7599654375	13.3382031458333	13.6075676875	13.6604302083333	13.7599654375	13.7599654375	13.5524708333333	13.5524708333333	13.7599654375	13.405379625	13.6604302083333	13.7056952916667	13.5166369791667	13.6075676875	13.3091544791667	13.6604302083333	13.7056952916667	13.8291421875	13.7599654375
 A2ML1 	5.26103510416667	5.16366764583333	5.22759083333333	5.22112895833333	5.18288795833333	5.05910354166667	5.03168958333333	5.22830672916667	5.16248585416667	4.956090875	5.04869020833333	5.18588359375	5.5384733125	5.1206584375	5.118233125	5.31315697916667	5.41339558333333	5.03693208333333	4.75124910416667	5.065764125	5.15410010416667	5.368708125	4.88261895833333	5.35901416666667	5.33181329166667	4.7946440625	6.2372705625	4.97440558333333	4.94369060416667	5.132811875	5.118233125	5.12251177083333	5.19760260416667
 A3GALT2 	5.88170583333333	6.13927283333333	6.0194491875	6.27541614583333	5.56903833333333	5.8827090625	6.57923745833333	5.91867291666667	5.79586797916667	6.16361541666667	6.2790959375	5.6837240625	5.6778328125	5.80947822916667	5.58955072916667	5.9044178125	5.8142853125	6.19805395833333	5.59938239583333	5.74549979166667	5.49244991666667	5.8357534375	5.71602589583333	5.3363284375	5.41307270833333	5.5587785	5.64939125	5.63178354166667	5.37262247916667	5.51162235416667	6.01809270833333	5.406874375	5.1965096875
 A4GALT 	7.83946308333333	7.96938385416667	7.39710304166667	7.897364375	7.29798739583333	7.31065677083333	7.7958084375	7.40866364583333	8.35052791666667	7.204497625	8.068986875	7.75456916666667	7.30716197916667	7.3905258125	7.38048864583333	7.35904458333333	7.81155197916667	7.1156646875	7.01386104166667	7.19892895833333	7.13251854166667	7.352571875	7.540160625	7.45633354166667	7.4129051875	7.0777899375	7.24274385416667	7.43090291666667	6.8761399375	7.12952333333333	7.283010625	7.36266127083333	7.30173041666667
 A4GNT 	4.809048125	4.83076145833333	4.85892208333333	4.91703989583333	4.80838391666667	5.02045041666667	4.78390083333333	4.67630895833333	4.76737635416667	4.70111310416667	4.93173729166667	4.63183725	4.21730827083333	4.69251885416667	4.23215110416667	4.53497291666667	4.61767989583333	4.683293125	4.77936875	4.50958729166667	4.52317583333333	4.35492622916667	4.39103278125	4.5392825	4.45861629166667	4.17521479166667	4.5919036875	4.60242666666667	4.5615938125	4.45884575	4.69251885416667	4.61048791666667	4.55306125
 AAAS 	8.8643405625	9.07487541666667	8.92111483333333	8.6723169375	8.30093910416667	8.69158697916667	9.1977321875	8.37906770833333	8.7502531875	8.664054375	9.41620455208333	8.70255989583333	8.56900175	8.76942927083333	8.4803053125	8.656376875	8.43373225	8.54390933333333	8.57393260416667	8.53067302083333	8.5715340625	8.58900979166667	8.0105675	8.55862020833333	8.45694239583333	8.59632135416667	8.55837858333333	8.45574822916667	8.6993134375	8.57697239583333	8.41766666666667	8.55154485416667	8.76706416666667
 AACS 	7.19603875	7.38033120833333	7.51480802083333	7.3381859375	7.3679584375	7.63940197916667	7.41431458333333	7.25170114583333	7.36388545833333	7.51825514583333	7.02323170833333	7.6039495625	7.44619520833333	7.34408114583333	7.80535135416667	7.29840739583333	7.4935631875	7.41752235416667	7.256273125	7.51892145833333	7.3635025	7.68715625	7.42468808333333	7.3350715625	7.5007471875	7.37990516666667	7.56072839583333	7.26755322916667	7.0932880625	7.54815114583333	7.49442177083333	7.40222	7.3995309375
 AADAC 	5.31626875	4.46495020833333	6.95174260416667	5.54505645833333	5.68192558333333	7.28892166666667	6.66635539583333	6.23411895833333	5.6015103125	5.79254041666667	7.5264396875	5.336895375	6.41329170833333	8.2802125	5.67079902083333	5.35246364583333	5.54767672916667	5.68192558333333	5.75004289583333	7.59996270833333	7.96417872916667	7.8941609375	6.92786854166667	7.01591125	8.10243833333333	5.00236833333333	6.05475416666667	4.64390395833333	5.95618041666667	7.33192214583333	7.32689372916667	5.88308770833333	5.75108910416667
 AADACL2 	3.97341427083333	4.02530775	4.02823875	4.233153125	3.891664375	3.979956	4.13355916666667	4.546658125	4.14950583333333	4.032511875	4.18409229166667	4.2341071875	4.46243833333333	4.413212	4.66468635416667	4.2090871875	4.42283083333333	4.056969625	4.488031875	4.519055	5.61889697916667	4.9927705	3.99608895833333	4.33765122916667	4.78354010416667	4.03693715625	6.07266447916667	6.56030545833333	4.33819527083333	5.54151322916667	4.33385152083333	4.52590979166667	4.96144527083333
 AADACL3 	5.67091065625	5.54852645833333	5.79047541666667	5.817168125	5.72575916666667	5.79483422916667	5.79183333333333	5.63300625	5.59357027083333	5.6689311875	5.759555625	5.18862208333333	5.85023608333333	5.70564422916667	5.478051875	5.13962479166667	5.90224354166667	5.54068239583333	5.56314489583333	5.47099833333333	5.4060028125	5.46794833333333	5.595890625	5.41514166666667	5.61671791666667	5.42724166666667	5.44394964583333	5.73409097916667	4.92525875	5.860266875	5.87422983333333	5.5750675	5.7406140625
 AADACL4 	4.976575625	4.75974766666667	4.4630253125	4.51176625	4.54573947916667	4.7644575	4.9260544375	5.018596875	4.89675016666667	4.65461729166667	4.910716875	4.571895625	5.00661354166667	4.32455583333333	4.41238197916667	4.722415625	4.485349375	4.75267125	4.49177614583333	5.044979375	4.9134069375	4.95346145833333	4.69204604166667	4.55593208333333	4.77231125	4.603946875	4.856475625	5.25774520833333	4.57752854166667	4.72754822916667	4.78998479166667	4.54142160416667	4.66039166666667
 AADAT 	7.87084572916667	7.35073839583333	8.057585	7.58438625	7.77134764583333	7.64758854166667	7.17568697916667	7.6039495625	7.16797272916667	7.50821239583333	7.804975	6.24403541666667	7.08004364583333	6.930757875	7.1123836875	6.21845152083333	6.5050895	7.08469114583333	6.87659385416667	6.97166135416667	7.0510484375	7.0209878125	7.12510083333333	6.56601014583333	6.70492839583333	6.84281983333333	7.19453	7.1540543125	6.37333979166667	7.1837485	7.13601245833333	7.60565166666667	7.14716802083333
 AAED1 	9.02136079166667	9.6756005625	9.269851375	9.58130925	9.63419652083333	9.320855625	9.42424958333333	9.45547791666667	9.87953739583333	9.46749714583333	9.3320446875	7.74903660416667	7.82810375	7.3775034375	8.04101479166667	7.6824096875	7.92372390625	7.86697791666667	7.498039375	7.82466880208333	7.52386979166667	7.942896875	8.42571510416667	7.55468785416667	7.37714879166667	7.75968739583333	7.99608979166667	7.87863539583333	7.84068041666667	7.9626384375	8.16095041666667	7.77432520833333	7.798049375
 AAGAB 	6.62461604166667	6.46224447916667	6.37820829166667	6.52134045833333	7.19206058333333	6.86273291666667	6.18288364583333	6.89397770833333	6.60276645833333	6.77420947916667	6.381918125	8.16565454166667	8.38370833333333	8.14711135416667	8.43373225	8.16565454166667	7.97542270833333	8.30220635416667	8.0642479375	8.031905625	7.92273614583333	8.20644583333333	8.29940870833333	8.2639175	8.15856077083333	7.93662692708333	8.20865397916667	7.91128425	7.90175278125	8.23420104166667	8.21490072916667	8.21789922916667	8.047485625
 AAK1 	8.8587953125	8.80509947916667	9.12516972916667	9.19230604166667	9.09309697916667	9.25210127083333	8.92025525	9.04640677083333	8.94257589583333	9.07637170833333	8.88951947916667	8.709391875	8.51051689583333	8.67025947916667	8.67604708333333	8.41965791666667	8.9943321875	8.80196229166667	8.760541875	8.55069358333333	8.70125929166667	8.6418803125	8.60200864583333	8.67604708333333	8.70687308333333	9.11282995833333	8.75745964583333	9.38248427083333	9.08005725	8.75244979166667	8.86903827083333	9.003291875	9.16524327083333
 AAMDC 	7.5091528125	7.7919403125	7.59664233333333	7.78746677083333	7.22542541666667	7.36369572916667	7.5049821875	7.210231875	7.00656479166667	7.217290625	8.05582541666667	6.07916833333333	6.49087833333333	6.35475270833333	6.53600725	5.95743604166667	6.36480535416667	6.82222377083333	7.075883125	6.57338697916667	6.79511822916667	6.85030885416667	6.73314729166667	6.41205447916667	6.45765052083333	5.75903597916667	6.20436433333333	6.49345829166667	5.97489235416667	6.22426766666667	6.15752833333333	6.39104833333333	6.60873885416667
 AAMP 	8.872418125	9.09064077083333	9.06086625	8.95064489583333	8.74153545833333	8.9332953125	9.29957166666667	8.75485833333333	9.14004583333333	8.93477602083333	9.21885114583333	8.629346625	8.62905802083333	8.676876875	8.72443635416667	8.53452910416667	8.69691072916667	8.50196275	8.6232678125	8.58900979166667	8.67388229166667	8.56325291666667	8.65786677083333	8.65385666666667	8.7849625	8.04757145833333	8.12944520833333	8.07876645833333	8.1760946875	8.204261875	8.4679299375	8.35983329166667	8.0981525625
 AANAT 	6.14519354166667	6.01966020833333	6.204095	6.07741052083333	5.7670759375	5.99349760416667	6.20436433333333	5.92518864583333	6.16376795833333	5.9421015625	6.103996875	5.88943989583333	5.90071170833333	5.91899083333333	6.19624989583333	5.73671697916667	6.01797979166667	5.99032208333333	6.00459864583333	5.92338276041667	5.79671866666667	5.5910290625	6.05871416666667	6.10748891666667	5.88308770833333	5.9980194375	5.74951739583333	5.8551353125	6.27424135416667	5.4436355625	5.95690739583333	5.8145725	5.86144395833333
 AAR2 	9.15620258333333	9.34345639583333	9.22889739583333	9.5387038125	8.94513052083333	9.1151849375	9.37691264583333	9.32761729166667	9.20967925	9.04831125	9.20257447916667	8.34221666666667	8.22474151041667	8.34287895833333	8.3693925	8.14799722916667	8.2747659375	8.49019420833333	8.360280625	8.22227735416667	8.047485625	8.25630704166667	8.42918354166667	8.45177145833333	8.49286452083333	8.22251645833333	8.15394125	8.118076	8.1407025	8.15542895833333	8.40659089583333	8.50406333333333	8.02782041666667
 AARD 	7.09535833333333	7.77807458333333	7.4473190625	7.09665197916667	6.57050297916667	7.42528514583333	7.413429375	6.21872416666667	6.517185125	7.3846746875	7.66814677083333	5.99090115625	5.9715984375	6.649403125	6.34981791666667	6.024981875	5.98101183333333	6.14115452083333	5.843005625	7.06619504166667	6.16049927083333	6.34037558333333	5.9736315625	5.99593858333333	7.08691610416667	6.2790959375	6.454167375	6.06924279166667	6.64206864583333	6.57073229166667	6.01809270833333	6.52966666666667	5.94715234375
 AARS 	9.11078520833333	8.62575360416667	9.47076797916667	9.33061302083333	9.14432677083333	9.32693791666667	8.4842655625	9.30203395833333	8.89359847916667	9.40743635416667	8.48910729166667	9.95440152083333	9.70087604166667	9.76975854166667	9.95156635416667	9.78846325	9.56252308333333	9.630316875	9.7931671875	9.51710760416667	9.58826895833333	9.60702041666667	9.4716115625	10.0684180833333	9.72494875	9.5387038125	9.2774699375	9.2413836875	9.980151625	9.45455322916667	9.53201416666667	9.82627672916667	9.52093729166667
 AARS2 	6.87395927083333	6.84579208333333	6.98018739583333	6.9376600625	6.68070636458333	6.77397660416667	7.09999827083333	6.7040278125	6.78483029166667	6.97050145833333	7.005656875	6.79409635416667	6.53978729166667	6.7377246875	6.766187625	6.7916600625	6.7172909375	6.88592072916667	6.61931625	6.5211178125	6.7697005625	6.77000996875	6.49445583333333	7.0361315625	6.77397660416667	6.55418291666667	6.86157879166667	6.3530463125	6.72768125	6.57520495833333	6.6678966875	6.7381949375	6.57288177083333
 AASDH 	6.83708697916667	6.18516677083333	6.15333447916667	6.32757191666667	6.81623875	6.6782793125	6.32020589583333	6.38841895833333	6.32308552083333	6.31122007291667	6.30305291666667	7.41661536458333	7.58251354166667	7.74430541666667	7.70124135416667	7.3000449375	7.09535833333333	7.59322941666667	7.65634572916667	7.93258947916667	8.00228947916667	7.63450902083333	7.68283266666667	7.69974354166667	7.63499416666667	7.95567239583333	7.80535135416667	7.94022875	7.43934854166667	8.08915075	7.75769989583333	7.684427875	7.684579
 AASDHPPT 	4.9184913125	4.637864375	4.4721384375	4.7564078125	5.01241052083333	4.66424479166667	4.67776295833333	4.87637947916667	4.604352	4.83076145833333	4.67955489583333	5.61397895833333	5.37329697916667	5.41838089583333	5.36434239583333	5.40420666666667	5.049074375	5.5314690625	5.39792270833333	5.56346972916667	5.33208604166667	5.49279760416667	5.72856307291667	5.48188589583333	5.4395408125	5.25128270833333	5.46161979166667	5.32534410416667	5.3528221875	5.62851347916667	5.55299552083333	5.49509822916667	5.36467854166667
 AASS 	8.92234416666667	9.10258129166667	8.36968160416667	8.6512246875	9.81871577083333	8.7502531875	8.16717083333333	9.21232614583333	9.2600465625	9.373492125	8.3453934375	9.55334947916667	10.049699375	10.0833950625	10.6193555833333	9.63945729166667	10.330065375	9.89890770833333	10.0417879166667	10.1995008333333	10.1366173958333	10.1975374583333	10.2375845416667	9.80520166666667	9.76490089583333	10.1948057291667	9.61102	10.3483791666667	9.70965375	9.49409583333333	10.4437071875	10.1187289166667	10.1016319375
