id	GSM1854187_Control	GSM1854188_Control	GSM1854189_Control	GSM1854182_Treat	GSM1854183_Treat	GSM1854184_Treat	GSM1854185_Treat	GSM1854186_Treat
 A1BG-AS1 	5.300596625	5.498295375	5.38435875	5.5919135	5.420879125	5.78856275	5.5458585	5.563125375
 A1BG 	6.02634475	6.109303375	5.986234375	6.069076125	6.05108375	6.212350375	6.104444875	6.26467975
 A1CF 	2.562940375	2.5412504375	2.517726125	2.5507391875	2.55402925	2.643152875	2.5708425	2.588751875
 A2M-AS1 	5.061435875	5.342768	5.07025425	5.28367775	5.4989875	5.067432625	5.362974625	5.35844625
 A2M 	11.769755	11.82769625	11.799476625	12.12857875	11.82769625	12.00758375	11.799476625	11.332645
 A2ML1-AS1 	2.5496105	2.40330325	2.540150875	2.297198625	2.493194875	2.4855695	2.6072595	2.485394375
 A2ML1-AS2 	5.464215375	5.469258625	5.649759625	5.59016725	5.53269925	5.334888	5.524760125	5.369705625
 A2ML1 	3.107450375	3.0891185	3.07382275	3.105280375	3.11431925	3.179100625	3.118781875	3.0919855625
 A2MP1 	2.58146675	2.53771475	2.587142	2.623003875	2.615370875	2.654229125	2.585412625	2.57526225
 A4GALT 	6.339264875	6.328645625	6.275338625	6.3529715	6.5058605	6.56443275	6.323897875	6.394929625
 A4GNT 	2.796985	2.715643	2.58504775	2.71669625	2.729645625	2.5626575	2.6020665	2.73452675
 AA06 	2.672089375	2.901925875	2.91772525	3.10112875	3.028872625	2.894220625	2.700262875	2.9146885
 AAAS 	6.5880055	6.59387775	6.5399625	6.6047995	6.57266525	6.512788875	6.3920155	6.6199465
 AACS 	6.01793975	5.955909875	5.978148625	5.99664725	5.989763	6.058944125	5.880016125	6.014650875
 AACSP1 	4.800369625	4.875264625	4.7769485	4.763797625	4.828420125	4.938586875	4.81843275	4.85559
 AADAC 	6.492129875	4.6472245	4.773384375	3.742528	4.35275025	3.264577375	4.00766225	6.23191575
 AADACL2 	2.88474525	2.75489825	2.8093215	2.828155	3.220145875	2.782095375	2.8495265	2.792612125
 AADACL3 	3.405740875	3.347619625	3.360125375	3.3532286875	3.4300995	3.3703425	3.28246725	3.3262870625
 AADACL4 	3.229996125	3.30483025	3.317872375	3.305297125	3.423474375	3.292613625	3.268168	3.2671705
